#magIn r50in magMeas r50meas r50SE
27.13 3.761 26.75 5.17851814541 0.989708893024
27.42 1.895 28.75 -0.220484008657 -1.5
27.57 1.637 26.56 8.95817951717 0.980529495131
30.62 2.479 -21474800.0 -1.7 -1.5
23.23 2.67 23.32 2.53214983965 2.52948718201
30.88 2.769 -21474800.0 -1.7 -1.5
24.37 0.953 24.56 1.05577691805 1.2174782636
23.01 2.854 23.14 2.87978443289 2.81144690218
28.48 6.343 28.3 10.2829803144 -1.5
27.27 2.322 27.05 4.60547270146 0.794012204716
29.67 1.871 27.45 10.9842772813 -1.5
25.31 6.686 25.92 5.02911752244 3.47828613676
25.46 1.027 25.69 0.957575212759 0.868368220164
27.62 3.233 27.59 11.9544427213 -1.5
30.15 0.986 -21474800.0 -1.7 -1.5
25.13 3.408 25.44 3.35374599426 3.0914436632
28.77 4.26 27.4 3.8435731078 -1.5
29.23 1.379 -21474800.0 -1.7 -1.5
24.52 2.078 24.63 2.06886178527 2.0251763475
30.14 2.387 31.1 -1.7 -1.5
27.43 5.232 26.52 8.63234807462 0.416621833666
23.61 2.628 23.75 2.37060133947 2.43177635333
25.82 5.766 26.01 6.44376284502 4.99544134588
29.61 5.76 -21474800.0 -1.7 -1.5
24.46 3.971 24.6 3.67002695483 3.52755901086
23.2 3.668 23.35 3.70020006204 3.5390831368
29.28 2.284 27.94 9.38763538129 -1.5
27.72 3.19 27.53 2.77040279881 -1.5
30.72 3.339 -21474800.0 -1.7 -1.5
27.27 4.619 26.56 10.8162952631 -1.5
24.86 4.418 24.94 4.3275561246 4.03942205418
27.65 1.225 27.52 8.62932085341 -1.5
23.67 1.806 23.78 1.647280892 1.68479188619
29.2 1.367 26.73 9.46321369381 -1.5
27.83 4.383 27.39 4.19239568984 -1.5
30.82 1.475 -21474800.0 -1.7 -1.5
28.83 4.708 27.54 11.8519343763 -1.5
27.89 3.552 27.25 11.7001664338 -1.5
25.21 2.718 25.31 2.67769989578 2.19066396749
30.57 0.735 28.36 13.0072264367 -1.5
28.48 1.019 27.69 1.65181963296 -1.5
26.46 2.104 26.36 2.26548741119 1.72050457913
27.14 4.254 -21474800.0 -1.7 1.10450353255
29.33 3.956 -21474800.0 -1.7 2.35214929237
23.39 5.656 23.61 4.86723410555 3.07978443289
26.65 3.077 26.95 2.47735040339 2.44048169284
24.1 1.325 24.25 1.67674811159 1.54627480705
29.61 1.558 27.75 7.96186126568 -1.5
24.5 3.061 24.63 2.81823827873 2.65690237194
24.17 5.308 24.37 4.57566181497 4.10891696453
30.95 2.765 27.62 5.64411976447 -1.5
27.82 1.373 28.14 1.90428120332 -1.5
27.17 1.097 27.77 1.78039424003 1.1738747223
27.73 0.813 -21474800.0 -1.7 -1.5
